"Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces","Brewery Name","City","State"
"Pub Beer",1436,5,26.75,409,"American Pale Lager",12,"10 Barrel Brewing Company","Bend"," OR"
"Devil's Cup",2265,6.6,44.9411764705882,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Rise of the Phoenix",2264,7.1,67.6345514950166,178,"American IPA",12,"18th Street Brewery","Gary"," IN"
"Sinister",2263,9,93.32,178,"American Double / Imperial IPA",12,"18th Street Brewery","Gary"," IN"
"Sex and Candy",2262,7.5,67.6345514950166,178,"American IPA",12,"18th Street Brewery","Gary"," IN"
"Black Exodus",2261,7.7,28.0909090909091,178,"Oatmeal Stout",12,"18th Street Brewery","Gary"," IN"
"Lake Street Express",2260,4.5,44.9411764705882,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Foreman",2259,6.5,31.9230769230769,178,"American Porter",12,"18th Street Brewery","Gary"," IN"
"Jade",2258,5.5,44.9411764705882,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Cone Crusher",2131,8.6,93.32,178,"American Double / Imperial IPA",12,"18th Street Brewery","Gary"," IN"
"Sophomoric Saison",2099,7.2,28.3913043478261,178,"Saison / Farmhouse Ale",12,"18th Street Brewery","Gary"," IN"
"Regional Ring Of Fire",2098,7.3,28.3913043478261,178,"Saison / Farmhouse Ale",12,"18th Street Brewery","Gary"," IN"
"Garce Selé",2097,6.9,28.3913043478261,178,"Saison / Farmhouse Ale",12,"18th Street Brewery","Gary"," IN"
"Troll Destroyer",1980,8.5,57,178,"Belgian IPA",12,"18th Street Brewery","Gary"," IN"
"Bitter Bitch",1979,6.1,60,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Ginja Ninja",2318,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"Cherried Away",2170,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"Rhubarbarian",2169,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"BrightCider",1502,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"He Said Baltic-Style Porter",1593,8.2,54,369,"Baltic Porter",12,"21st Amendment Brewery","San Francisco"," CA"
"He Said Belgian-Style Tripel",1592,8.2,23.5,369,"Tripel",12,"21st Amendment Brewery","San Francisco"," CA"
"Lower De Boom",1036,9.9,92,369,"American Barleywine",8.4,"21st Amendment Brewery","San Francisco"," CA"
"Fireside Chat",1024,7.9,45,369,"Winter Warmer",12,"21st Amendment Brewery","San Francisco"," CA"
"Marooned On Hog Island",976,7.9,41.3125,369,"American Stout",12,"21st Amendment Brewery","San Francisco"," CA"
"Bitter American",876,4.4,42,369,"American Pale Ale (APA)",12,"21st Amendment Brewery","San Francisco"," CA"
"Hell or High Watermelon Wheat (2009)",802,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"Hell or High Watermelon Wheat (2009)",801,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"21st Amendment Watermelon Wheat Beer (2006)",800,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"21st Amendment IPA (2006)",799,7,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA (2008)",797,7,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA (2009)",796,7,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Special Edition: Allies Win The War!",531,8.5,52,369,"English Strong Ale",12,"21st Amendment Brewery","San Francisco"," CA"
"Hop Crisis",432,9.7,94,369,"American Double / Imperial IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Bitter American (2011)",353,4.4,42,369,"American Pale Ale (APA)",12,"21st Amendment Brewery","San Francisco"," CA"
"Fireside Chat (2010)",321,7.9,45,369,"Winter Warmer",12,"21st Amendment Brewery","San Francisco"," CA"
"Back in Black",173,6.8,65,369,"American Black Ale",12,"21st Amendment Brewery","San Francisco"," CA"
"Monk's Blood",11,8.3,35,369,"Belgian Dark Ale",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA",10,7,65,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Hell or High Watermelon Wheat",9,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"Bimini Twist",2519,7,82,68,"American IPA",12,"3 Daughters Brewing","St Petersburg"," FL"
"Beach Blonde",2518,5,20.983606557377,68,"American Blonde Ale",12,"3 Daughters Brewing","St Petersburg"," FL"
"Rod Bender Red",2517,5.9,36.2987012987013,68,"American Amber / Red Ale",12,"3 Daughters Brewing","St Petersburg"," FL"
"Passion Fruit Prussia",2545,3.5,11,61,"Berliner Weissbier",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Send Help",2544,4.5,18,61,"American Blonde Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Cast Iron Oatmeal Brown",2324,5.5,29.8947368421053,61,"American Brown Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Reprise Centennial Red",2288,6,36.2987012987013,61,"American Amber / Red Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Alter Ego",2287,5.5,68.9,61,"American Black Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Divided Sky",2286,6.5,67.6345514950166,61,"American IPA",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Resurrected",2285,6.5,67.6345514950166,61,"American IPA",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Contact High",1870,5,28,61,"American Pale Wheat Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Galaxyfest",2603,6.5,67.6345514950166,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Citrafest",2602,5,45,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Barn Yeti",2220,9,72,28,"Belgian Strong Dark Ale",16,"450 North Brewing Company","Columbus"," IN"
"Scarecrow",2219,6.9,65,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Ironman",2218,9,50,28,"English Strong Ale",16,"450 North Brewing Company","Columbus"," IN"
"Honey Kolsch",2217,4.6,15,28,"Kölsch",16,"450 North Brewing Company","Columbus"," IN"
"Copperhead Amber",2216,5.2,18,28,"Belgian Dark Ale",16,"450 North Brewing Company","Columbus"," IN"
"Rude Parrot IPA",972,5.9,75,482,"American IPA",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"British Pale Ale (2010)",866,5.4,30,482,"English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"British Pale Ale",48,5.4,30,482,"English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"Ballz Deep Double IPA",47,8.4,82,482,"American Double / Imperial IPA",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"Wolfman's Berliner",1583,3.8,7.8,374,"Berliner Weissbier",12,"7venth Sun","Dunedin"," FL"
"Colorado Native",1165,5.5,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO"
"Colorado Native (2011)",431,5.5,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO"
"Jockamo IPA",516,6.5,52,534,"American IPA",12,"Abita Brewing Company","Abita Springs"," LA"
"Purple Haze",515,4.2,13,534,"Fruit / Vegetable Beer",12,"Abita Brewing Company","Abita Springs"," LA"
"Abita Amber",514,4.5,17,534,"American Amber / Red Lager",12,"Abita Brewing Company","Abita Springs"," LA"
"Citra Ass Down",2540,8.2,68,63,"American IPA",16,"Against The Grain Brewery","Louisville"," KY"
"The Brown Note",2539,5,20,63,"American Brown Ale",16,"Against The Grain Brewery","Louisville"," KY"
"Citra Ass Down",2686,8,68,2,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville"," KY"
"London Balling",2685,12.5,80,2,"English Barleywine",16,"Against the Grain Brewery","Louisville"," KY"
"35 K",2684,7.7,25,2,"Milk / Sweet Stout",16,"Against the Grain Brewery","Louisville"," KY"
"A Beer",2683,4.2,42,2,"American Pale Ale (APA)",16,"Against the Grain Brewery","Louisville"," KY"
"Rules are Rules",2682,5,25,2,"German Pilsener",16,"Against the Grain Brewery","Louisville"," KY"
"Flesh Gourd'n",2681,6.6,21,2,"Pumpkin Ale",16,"Against the Grain Brewery","Louisville"," KY"
"Sho'nuff",2680,4,13,2,"Belgian Pale Ale",16,"Against the Grain Brewery","Louisville"," KY"
"Bloody Show",2679,5.5,17,2,"American Pilsner",16,"Against the Grain Brewery","Louisville"," KY"
"Rico Sauvin",2678,7.6,68,2,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville"," KY"
"Coq de la Marche",2677,5.1,38,2,"Saison / Farmhouse Ale",16,"Against the Grain Brewery","Louisville"," KY"
"Kamen Knuddeln",2676,6.5,27,2,"American Wild Ale",16,"Against the Grain Brewery","Louisville"," KY"
"Pile of Face",2675,6,65,2,"American IPA",16,"Against the Grain Brewery","Louisville"," KY"
"The Brown Note",2674,5,20,2,"English Brown Ale",16,"Against the Grain Brewery","Louisville"," KY"
"Maylani's Coconut Stout",1594,5.3,35,368,"American Stout",16,"Airways Brewing Company","Kent"," WA"
"Oatmeal PSA",1162,5,35,368,"American Pale Ale (APA)",16,"Airways Brewing Company","Kent"," WA"
"Pre Flight Pilsner",1137,5.2,33,368,"American Pilsner",16,"Airways Brewing Company","Kent"," WA"
"P-Town Pilsner",2403,4,20,118,"American Pilsner",12,"Alameda Brewing","Portland"," OR"
"Klickitat Pale Ale",2402,5.3,36,118,"American Pale Ale (APA)",12,"Alameda Brewing","Portland"," OR"
"Yellow Wolf Imperial IPA",2401,8.2,103,118,"American Double / Imperial IPA",12,"Alameda Brewing","Portland"," OR"
"Freeride APA",1921,5.3,40,271,"American Pale Ale (APA)",12,"Alaskan Brewing Company","Juneau"," AK"
"Alaskan Amber",1920,5.3,18,271,"Altbier",12,"Alaskan Brewing Company","Juneau"," AK"
"Hopalicious",2501,5.7,44.9411764705882,74,"American Pale Ale (APA)",12,"Ale Asylum","Madison"," WI"
"Kentucky Kölsch",1535,4.3,21.7777777777778,389,"Kölsch",16,"Alltech's Lexington Brewing Company","Lexington"," KY"
"Kentucky IPA",1149,6.5,67.6345514950166,389,"American IPA",16,"Alltech's Lexington Brewing Company","Lexington"," KY"
"Dusty Trail Pale Ale",1474,5.4,44.9411764705882,402,"American Pale Ale (APA)",16,"Amnesia Brewing Company","Washougal"," WA"
"Damnesia",1473,6.2,67.6345514950166,402,"American IPA",16,"Amnesia Brewing Company","Washougal"," WA"
"Desolation IPA",837,6.2,43,402,"American IPA",16,"Amnesia Brewing Company","Washougal"," WA"
"Liberty Ale",2592,5.9,67.6345514950166,36,"American IPA",12,"Anchor Brewing Company","San Francisco"," CA"
"IPA",2578,6.5,67.6345514950166,36,"American IPA",12,"Anchor Brewing Company","San Francisco"," CA"
"Summer Wheat",2577,4.5,20.6885245901639,36,"American Pale Wheat Ale",12,"Anchor Brewing Company","San Francisco"," CA"
"California Lager",2103,4.9,23.25,36,"American Amber / Red Lager",12,"Anchor Brewing Company","San Francisco"," CA"
"Brotherhood Steam",2102,5.6,41,36,"California Common / Steam Beer",12,"Anchor Brewing Company","San Francisco"," CA"
"Blood Orange Gose",2291,4.2,9.42857142857143,172,"Gose",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Keebarlin' Pale Ale",1818,4.2,44.9411764705882,172,"American Pale Ale (APA)",12,"Anderson Valley Brewing Company","Boonville"," CA"
"the Kimmie, the Yink and the Holy Gose",1738,4.8,9.42857142857143,172,"Gose",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Fall Hornin'",1563,6,24.8181818181818,172,"Pumpkin Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Barney Flats Oatmeal Stout",1520,5.7,13,172,"Oatmeal Stout",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Summer Solstice",1350,5.6,4,172,"Cream Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Hop Ottin' IPA",1327,7,80,172,"American IPA",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Boont Amber Ale",1326,5.8,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Barney Flats Oatmeal Stout",1221,5.7,13,172,"Oatmeal Stout",12,"Anderson Valley Brewing Company","Boonville"," CA"
"El Steinber Dark Lager",1217,5.5,25,172,"Vienna Lager",16,"Anderson Valley Brewing Company","Boonville"," CA"
"Boont Amber Ale (2010)",811,5.8,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Summer Solstice Cerveza Crema (2009)",753,5.6,4,172,"Cream Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Barney Flats Oatmeal Stout (2012)",572,5.7,13,172,"Oatmeal Stout",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Winter Solstice",523,6.9,6,172,"Winter Warmer",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Hop Ottin' IPA (2011)",367,7,80,172,"American IPA",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Boont Amber Ale (2011)",78,5.8,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Summer Solstice (2011)",77,5.6,4,172,"Cream Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Poleeko Gold Pale Ale (2009)",76,5.5,28,172,"American Pale Ale (APA)",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Charlie's Rye IPA",2337,6,67.6345514950166,147,"American IPA",16,"Angry Minnow","Hayward"," WI"
"River Pig Pale Ale",410,5.4,44.9411764705882,543,"American Pale Ale (APA)",16,"Angry Minnow Brewing Company","Hayward"," WI"
"Oaky's Oatmeal Stout",409,4.7,28.0909090909091,543,"Oatmeal Stout",16,"Angry Minnow Brewing Company","Hayward"," WI"
"Angry Orchard Apple Ginger",1294,5,0,435,"Cider",16,"Angry Orchard Cider Company","Cincinnati"," OH"
"Angry Orchard Crisp Apple",1293,5,0,435,"Cider",16,"Angry Orchard Cider Company","Cincinnati"," OH"
"Angry Orchard Crisp Apple",1292,5,0,435,"Cider",12,"Angry Orchard Cider Company","Cincinnati"," OH"
"Golden One",2207,6.8,23.875,194,"Belgian Pale Ale",12,"Anthem Brewing Company","Oklahoma City"," OK"
"Arjuna",2040,6,16.2083333333333,194,"Witbier",12,"Anthem Brewing Company","Oklahoma City"," OK"
"Uroboros",2039,8.5,41.3125,194,"American Stout",12,"Anthem Brewing Company","Oklahoma City"," OK"
"Long Leaf",2511,7.1,75,70,"American IPA",16,"Appalachian Mountain Brewery","Boone"," NC"
"Honey Badger Blonde",2510,4.7,19,70,"American Blonde Ale",16,"Appalachian Mountain Brewery","Boone"," NC"
"Porter (a/k/a Black Gold Porter)",2509,6,23,70,"American Porter",16,"Appalachian Mountain Brewery","Boone"," NC"
"Sky High Rye",413,6,55,542,"American Pale Ale (APA)",12,"Arcadia Brewing Company","Battle Creek"," MI"
"Whitsun",390,6.2,17,542,"American Pale Wheat Ale",12,"Arcadia Brewing Company","Battle Creek"," MI"
"On-On Ale (2008)",735,5.2,44.9411764705882,514,"American Pale Ale (APA)",12,"Arctic Craft Brewery","Colorado Springs"," CO"
"Quakertown Stout",1333,9.2,50,427,"American Double / Imperial Stout",12,"Armadillo Ale Works","Denton"," TX"
"Greenbelt Farmhouse Ale",1332,5.1,20,427,"Saison / Farmhouse Ale",12,"Armadillo Ale Works","Denton"," TX"
"Mo's Gose",1172,5.2,10,462,"Gose",16,"Armstrong Brewing Company","South San Francisco"," CA"
"Green Bullet Organic India Pale Ale",1322,7,45,430,"American IPA",16,"Asher Brewing Company","Boulder"," CO"
"Rocket Girl",550,3.2,27,529,"Kölsch",12,"Asheville Brewing Company","Asheville"," NC"
"Ninja Porter",429,5.3,26,529,"American Porter",12,"Asheville Brewing Company","Asheville"," NC"
"Shiva IPA",428,6,69,529,"American IPA",12,"Asheville Brewing Company","Asheville"," NC"
"Aslan Kölsch",1640,4.8,21.7777777777778,354,"Kölsch",16,"Aslan Brewing Company","Bellingham"," WA"
"Aslan IPA",1639,7.7,67.6345514950166,354,"American IPA",16,"Aslan Brewing Company","Bellingham"," WA"
"Aslan Amber",1638,7.7,36.2987012987013,354,"American Amber / Red Ale",16,"Aslan Brewing Company","Bellingham"," WA"
"This Season's Blonde",597,5.6,27,524,"American Blonde Ale",12,"Aspen Brewing Company","Aspen"," CO"
"Independence Pass Ale",596,7,67,524,"American IPA",12,"Aspen Brewing Company","Aspen"," CO"
"Trolley Stop Stout",1580,5.7,40,375,"American Stout",12,"Astoria Brewing Company","Astoria"," OR"
"Bitter Bitch Imperial IPA",980,8.2,138,375,"American Double / Imperial IPA",12,"Astoria Brewing Company","Astoria"," OR"
"Poop Deck Porter",979,6.2,35,375,"American Porter",12,"Astoria Brewing Company","Astoria"," OR"
"Old Red Beard Amber Ale",978,6,35,375,"American Amber / Red Ale",12,"Astoria Brewing Company","Astoria"," OR"
"Hop A-Peel",2503,7.5,115,73,"American Double / Imperial IPA",16,"Atwater Brewery","Detroit"," MI"
"Vanilla Java Porter",2502,5.5,12,73,"American Porter",16,"Atwater Brewery","Detroit"," MI"
"Michelada",2495,5.2,14.2,73,"Fruit / Vegetable Beer",16,"Atwater Brewery","Detroit"," MI"
"Dirty Blonde Ale",534,4.5,8,73,"American Blonde Ale",12,"Atwater Brewery","Detroit"," MI"
"Grand Circus IPA",528,5,62,73,"American IPA",12,"Atwater Brewery","Detroit"," MI"
"Atwater's Lager",527,5,12,73,"Munich Helles Lager",12,"Atwater Brewery","Detroit"," MI"
"Heavy Machinery IPA Series #1: Heavy Fist",1409,7,68.9,414,"American Black Ale",16,"Austin Beerworks","Austin"," TX"
"Fire Eagle IPA",343,6.2,67.6345514950166,414,"American IPA",12,"Austin Beerworks","Austin"," TX"
"Peacemaker",342,5.1,44.9411764705882,414,"American Pale Ale (APA)",12,"Austin Beerworks","Austin"," TX"
"Pearl-Snap",341,5.3,34.1764705882353,414,"German Pilsener",12,"Austin Beerworks","Austin"," TX"
"Black Thunder",340,5.2,31,414,"Schwarzbier",12,"Austin Beerworks","Austin"," TX"
"Raja",2589,8,93.32,38,"American Double / Imperial IPA",12,"Avery Brewing Company","Boulder"," CO"
"Perzik Saison",2546,6.4,28.3913043478261,38,"Saison / Farmhouse Ale",12,"Avery Brewing Company","Boulder"," CO"
"Avery Joe’s Premium American Pilsner",146,4.7,42,38,"German Pilsener",12,"Avery Brewing Company","Boulder"," CO"
"White Rascal",108,5.6,10,38,"Witbier",12,"Avery Brewing Company","Boulder"," CO"
"Avery India Pale Ale",107,6.3,69,38,"American IPA",12,"Avery Brewing Company","Boulder"," CO"
"Ellie’s Brown Ale",106,5.5,17,38,"American Brown Ale",12,"Avery Brewing Company","Boulder"," CO"
"Pumpkin Beast",1620,6.2,17,361,"Pumpkin Ale",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"OktoberBeast",1579,7.2,22,361,"Märzen / Oktoberfest",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"Mad Beach",1228,4.8,23,361,"American Pale Wheat Ale",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"Hog Wild India Pale Ale",705,6.7,67.6345514950166,361,"American IPA",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"Devils Tramping Ground Tripel",704,9.2,5,361,"Tripel",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"Hot Rod Red",702,6.1,41,361,"American Amber / Red Ale",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"Palate Mallet",2058,8.6,93.32,236,"American Double / Imperial IPA",12,"Back East Brewing Company","Bloomfield"," CT"
"Back East Porter",1483,6,31.9230769230769,236,"American Porter",12,"Back East Brewing Company","Bloomfield"," CT"
"Back East Golden Ale",1426,4.9,20.983606557377,236,"American Blonde Ale",12,"Back East Brewing Company","Bloomfield"," CT"
"Misty Mountain IPA",1132,7,67.6345514950166,236,"American IPA",12,"Back East Brewing Company","Bloomfield"," CT"
"Back East Ale",1131,5,36.2987012987013,236,"American Amber / Red Ale",12,"Back East Brewing Company","Bloomfield"," CT"
"Truck Stop Honey Brown Ale",1876,6,23.2,287,"English Brown Ale",12,"Back Forty Beer Company","Gadsden"," AL"
"Naked Pig Pale Ale",1875,6,43,287,"American Pale Ale (APA)",12,"Back Forty Beer Company","Gadsden"," AL"
"Topcutter India Pale Ale",966,6.8,70,484,"American IPA",12,"Bale Breaker Brewing Company","Yakima"," WA"
"Field 41 Pale Ale",965,4.4,38,484,"American Pale Ale (APA)",12,"Bale Breaker Brewing Company","Yakima"," WA"
"Grapefruit Sculpin",2593,7,67.6345514950166,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"Even Keel",2105,3.8,40,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"Ballast Point Pale Ale",1401,5.2,23,35,"Kölsch",12,"Ballast Point Brewing Company","San Diego"," CA"
"Big Eye India Pale Ale",1400,7,75,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"Longfin Lager",1019,4.6,17.9166666666667,35,"Munich Helles Lager",12,"Ballast Point Brewing Company","San Diego"," CA"
"Sculpin IPA",1018,7,70,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"All Nighter Ale",1776,4.5,45.7142857142857,319,"Extra Special / Strong Bitter (ESB)",12,"Banner Beer Company","Williamsburg"," MA"
"Banner American Rye",1644,4.5,20,319,"Rye Beer",12,"Banner Beer Company","Williamsburg"," MA"
"Banner American Ale",1643,3.5,45,319,"American Amber / Red Ale",12,"Banner Beer Company","Williamsburg"," MA"
"Thai.p.a",2618,7,46,21,"American IPA",16,"Bare Hands Brewery","Granger"," IN"
"Barrio Blanco",2005,6,60,252,"American IPA",12,"Barrio Brewing Company","Tucson"," AZ"
"Barrio Tucson Blonde",1343,4.5,20.983606557377,252,"American Blonde Ale",12,"Barrio Brewing Company","Tucson"," AZ"
"Hop in the ‘Pool Helles",2404,4.9,22,117,"American Pilsner",12,"Base Camp Brewing Co.","Portland"," OR"
"Ultra Gnar Gnar IPA",2323,6.7,60,117,"American IPA",12,"Base Camp Brewing Co.","Portland"," OR"
"In-Tents India Pale Lager",2189,6.8,62,117,"American Pale Lager",12,"Base Camp Brewing Co.","Portland"," OR"
"Lost Meridian Wit",2188,5,20,117,"Witbier",12,"Base Camp Brewing Co.","Portland"," OR"
"Celestial Meridian Cascadian Dark Lager",2187,5.1,45,117,"Euro Dark Lager",12,"Base Camp Brewing Co.","Portland"," OR"
"Wagon Party",1966,5.4,55,259,"California Common / Steam Beer",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"Sky-Five",1965,6.7,70,259,"American IPA",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"Stargrazer",1964,5,28,259,"Schwarzbier",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"Wonderstuff",1963,5.4,48,259,"German Pilsener",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"Tarnation California-Style Lager",1855,5.3,41,293,"California Common / Steam Beer",12,"Baxter Brewing Company","Lewiston"," ME"
"On the Count of 3 (2015)",1778,7,42,293,"Hefeweizen",16,"Baxter Brewing Company","Lewiston"," ME"
"Summer Swelter",1209,4.7,20.6885245901639,293,"American Pale Wheat Ale",12,"Baxter Brewing Company","Lewiston"," ME"
"Phantom Punch Winter Stout",954,6.8,38.6666666666667,293,"Foreign / Export Stout",12,"Baxter Brewing Company","Lewiston"," ME"
"Hayride Autumn Ale",910,6.6,52,293,"Rye Beer",12,"Baxter Brewing Company","Lewiston"," ME"
"Celsius Summer Ale (2012)",707,4.7,20.6885245901639,293,"American Pale Wheat Ale",12,"Baxter Brewing Company","Lewiston"," ME"
"Amber Road",533,5.5,35,293,"American Amber / Red Ale",12,"Baxter Brewing Company","Lewiston"," ME"
"Pamola Xtra Pale Ale",183,4.9,28,293,"American Pale Ale (APA)",12,"Baxter Brewing Company","Lewiston"," ME"
"Stowaway IPA",182,6.9,69,293,"American IPA",12,"Baxter Brewing Company","Lewiston"," ME"
"Hoptopus Double IPA",1806,8.8,108,307,"American Double / Imperial IPA",16,"Beach Brewing Company","Virginia Beach"," VA"
"Watermelon Ale",2435,5,10,104,"Fruit / Vegetable Beer",12,"Beer Works Brewery","Lowell"," MA"
"Fenway American Pale Ale",2423,5.8,45,104,"American Pale Ale (APA)",12,"Beer Works Brewery","Lowell"," MA"
"Back Bay IPA",2420,6.8,85,104,"American IPA",12,"Beer Works Brewery","Lowell"," MA"
"Bunker Hill Blueberry Ale ",2419,4.8,16,104,"Other",12,"Beer Works Brewery","Lowell"," MA"
"Oberon",2494,5.8,20.6885245901639,77,"American Pale Wheat Ale",12,"Bell's Brewery","Kalamazoo"," MI"
"Smitten",2325,6,52,77,"Rye Beer",16,"Bell's Brewery","Kalamazoo"," MI"
"Winter White",2022,5,16.2083333333333,77,"Witbier",16,"Bell's Brewery","Kalamazoo"," MI"
"Oberon",1989,5.8,20.6885245901639,77,"American Pale Wheat Ale",16,"Bell's Brewery","Kalamazoo"," MI"
"Two Hearted",1988,7,67.6345514950166,77,"American IPA",16,"Bell's Brewery","Kalamazoo"," MI"
"Best Brown",1955,5.8,29.8947368421053,77,"American Brown Ale",16,"Bell's Brewery","Kalamazoo"," MI"
"Moar",2558,4.4,44,54,"English India Pale Ale (IPA)",12,"Bent Brewstillery","Roseville"," MN"
"Uber Lupin Schwarz IPA",2557,8.3,93.32,54,"American Double / Imperial IPA",16,"Bent Brewstillery","Roseville"," MN"
"Nordic Blonde",2556,5.7,27,54,"American Blonde Ale",12,"Bent Brewstillery","Roseville"," MN"
"Cold Press",2496,6,68.9,76,"American Black Ale",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Harness the Winter",2410,7.2,87,76,"American IPA",12,"Bent Paddle Brewing Company","Duluth"," MN"
"14° ESB ",1902,5.6,32,76,"Extra Special / Strong Bitter (ESB)",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Bent Hop Golden IPA",1901,6.2,68,76,"American IPA",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Bent Paddle Black Ale",1261,6,34,76,"American Black Ale",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Venture Pils",1253,5,38,76,"German Pilsener",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Lost Sailor IPA",1900,5.5,40,279,"English India Pale Ale (IPA)",12,"Berkshire Brewing Company","South Deerfield"," MA"
"Steel Rail Extra Pale Ale",1317,5.3,20,279,"American Pale Ale (APA)",12,"Berkshire Brewing Company","South Deerfield"," MA"
"La Frontera Premium IPA",1158,7.8,67.6345514950166,464,"American IPA",12,"Big Bend Brewing Company","Alpine"," TX"
"Tejas Lager",1157,4.7,33.8125,464,"Czech Pilsener",12,"Big Bend Brewing Company","Alpine"," TX"
"Number 22 Porter",1156,6.4,31.9230769230769,464,"American Porter",12,"Big Bend Brewing Company","Alpine"," TX"
"Big Bend Hefeweizen",1155,5.6,17.5925925925926,464,"Hefeweizen",12,"Big Bend Brewing Company","Alpine"," TX"
"Terlingua Gold",1154,6,20.983606557377,464,"American Blonde Ale",12,"Big Bend Brewing Company","Alpine"," TX"
"Aprè Shred",2104,8.1,17,221,"American Strong Ale",16,"Big Choice Brewing","Broomfield"," CO"
"Hemlock Double IPA",1762,9.5,104,221,"American Double / Imperial IPA",12,"Big Choice Brewing","Broomfield"," CO"
"West Portal Colorado Common Summer Ale",1422,4.1,41,221,"California Common / Steam Beer",16,"Big Choice Brewing","Broomfield"," CO"
